Index,Loc_cluster,type_category,avg_rating
608,75,Food_Beverage,4.394117647058820
609,75,Healthcare,4.3954545454545500
610,75,Professional_serv,4.375
611,75,Real_Estate,4.41764705882353
612,75,Retail_Shopping,4.4000000000000000
613,75,Tourism,4.342857142857140
614,76,,4.048387096774190
615,76,Automotive,4.09
616,76,Education,4.1
617,76,Finance,4.033333333333330
618,76,Food_Beverage,4.066666666666670
619,76,Healthcare,4.0
620,76,Real_Estate,4.083333333333330
621,76,Retail_Shopping,4.038461538461540
622,76,Tourism,4.080952380952380
623,77,,3.276190476190480
624,77,Automotive,3.5
625,77,Education,3.3
626,77,Finance,3.05
627,77,Food_Beverage,3.3000000000000000
628,77,Retail_Shopping,3.28
629,77,Tourism,3.2000000000000000
